movie_id,canonical_key,sources,num_sources,title,release_year,imdb_rating,imdb_votes,genre,description,poster_url,language,imdb_id
11,oye lucky lucky oye_2008.0,"['netflix', 'imdb']",2,Oye Lucky Lucky Oye,2008.0,7.9,8728.0,"Comedy, Crime, Drama","Inspired by the incredible true story of Lucky Singh, an extremely charismatic and fearless confidence man and thief who socialized with the rich, famous and influential of Delhi society and then proceeded to rob them blind. He was the b̻te noire of the police and had stolen millions by the time he was caught. A modern day Robin Hood with a twist, he robbed both the rich and the poor without prejudice. Nothing was too big nor was anything too insignificant to escape his attention. The film opens with his trial and charts his rise from the projects of crime ridden suburban Delhi to the very heart of the corridors of power. Along the way he makes lifelong friends, falls in love an manages to outwit the entire law and order machinery.",http://ia.media-imdb.com/images/M/MV5BNjA1MjM2NTM3MV5BMl5BanBnXkFtZTcwODIyMjk5MQ@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt1292703
12,rab ne bana di jodi_2008.0,"['imdb', 'amazon']",2,Rab Ne Bana Di Jodi,2008.0,7.1,23383.0,"Comedy, Drama, Musical, Romance","Surinder is married to Taani but there is a huge age gap between them. There is no real romance in the marriage. Then, a dance reality show called ""Rab Ne Bana Di Jodi"" airs and Taani wants to participate but can't because her husband is not hip and happening. She has a fear of losing, and she also fears that her friends will laugh at her. Surinder overhears her problem and decides to go in for a makeover. He watches some movies and learns to dance in order to woo his young wife. Throughout the show, Taani keeps falling in love to with this new-and-improved Surinder without once realizing that he's really her husband.",http://ia.media-imdb.com/images/M/MV5BNTU5MjI3MTE0NV5BMl5BanBnXkFtZTcwMDk4OTUxMg@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt1182937
13,jaane tu ya jaane na_2008.0,"['netflix', 'imdb']",2,Jaane Tu Ya Jaane Na,2008.0,7.6,14671.0,"Comedy, Drama, Romance","While on the way to the airport, Mala, who Jignesh Patel believes is going to be his future girlfriend, must listen to the romantic overtures of a group who are obsessed with the popular number 'Jaane Tu Ya Jaane Na' from the movie 'Aa Gale Lag Jaa'. The story is about Jai Singh Rathore and Aditi Wadia, two friends who are so close that the Wadias decide to get them married. But both disagree, and decide to seek soul mates for each other. With Aditi's help, Jai meets Meghna, and both fall in love with each other. Jai is introduced to her parents, who also approve of him. Aditi's is then introduced to Sushant Modi, who instantly finds approval, even with her reclusive brother, Amit. Mala anxiously awaits the climax as the story unfolds with many twists and turns.",http://ia.media-imdb.com/images/M/MV5BMTk5NzI2MDkzOF5BMl5BanBnXkFtZTcwODA5NTk5Mw@@._V1._SY74_CR005474_.jpg,Hindi                    ,tt0473367
14,bhool bhulaiyaa_2007.0,"['netflix', 'imdb']",2,Bhool Bhulaiyaa,2007.0,7.0,6367.0,"Comedy, Horror, Mystery, Thriller","When U.S.-based Siddharth visits his Indian home town with his new wife, he insists they stay at the ancestral home, laughing off family members' warnings of ghostly goings-on in the mansion. But events soon make him reconsider his beliefs. As unexplained and terrifying occurrences arise, Siddharth calls on his doctor friend to help solve the mystery. What will be the outcome? Will Siddharth's friend be able to solve this riddle?",http://ia.media-imdb.com/images/M/MV5BMjAyMjQ1Mjg5MV5BMl5BanBnXkFtZTgwOTk3MTA2MDE@._V1._SX54_CR005474_.jpg,Hindi                    ,tt0995031
15,nymphomaniac vol i_2013.0,"['netflix', 'imdb']",2,Nymphomaniac Vol I,2013.0,61.0,2189.0,Drama,"A man named Seligman finds a fainted wounded woman in an alley and he brings her home. She tells him that her name is Joe and that she is nymphomaniac. Joe tells her life and sexual experiences with hundreds of men since she was a young teenager while Seligman tells about his hobbies, such as fly fishing, reading about Fibonacci numbers or listening to organ music.",http://ia.media-imdb.com/images/M/MV5BMjA3Njc5MjI5Ml5BMl5BanBnXkFtZTgwNTY3Mjg3MDE@._V1_SX300.jpg,English                  ,tt1937390
16,paheli_2005.0,"['netflix', 'imdb']",2,Paheli,2005.0,6.7,8631.0,"Fantasy, Romance","Parsimonious Bhanwarlal is a Bania (businessman) who lives in Navalgarh, Rajasthan, along with his wife; his sons Sunderlal and Kishanlal; Sunderlal is married to Gajrobai and has a son. During the annual camel race, Sunderlal loses the race to the Thakur and out of shame leaves home, never to return. Now Kishanlal has come of age and is married to Lachchi. But on the very next day of the marriage, he must leave for Jamnagar to attend to business, and can only return after five years. A tearful Lachchi bids him goodbye, but to her pleasant surprise he returns within a few days, and informs his dad that he had met a holy sage who had instructed him to return as he will find five gold coins every morning. Pleased with this, Bhanwarlal does not object to Kishanlal's return. After four years, it is now time for the camel race again, and this time Bhanwarlal's camel wins, much to the chagrin of the Thakur who suspects witchcraft. Then Lachchi gets pregnant and on the day of the child's birth the family finds out to their horror that there is an impostor who is claiming to be Kishanlal, and the husband of Lachchi. The family and the town are unable to decide who is real and who the impostor, as both look like twins, so they decide to approach the king and do his bidding. The question remains, who is the second Kishanlal and what possible motive could he have for coming to claim Lachchi as his wife?",http://ia.media-imdb.com/images/M/MV5BMTkwMDc2NTg3Nl5BMl5BanBnXkFtZTcwMjA5MTYzMQ@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt0451850
17,happy new year_2014.0,"['netflix', 'imdb']",2,Happy New Year,2014.0,5.7,19632.0,"Action, Comedy, Crime, Drama, Musical, Romance","A team of losers attempt to pull off mass revenge against a past traitor; required to win a dance competition as part of the plan, they get entangled with the presence of a somewhat unintelligent local dance performer who cannot learn the backstory of the betrayal.",http://ia.media-imdb.com/images/M/MV5BMjA5Njg4NjA1MV5BMl5BanBnXkFtZTgwOTMzOTk0MjE@._V1._SX54_CR005474_.jpg,Hindi                    ,tt2461132
18,wish you well_2013.0,"['imdb', 'amazon']",2,Wish You Well,2013.0,72.0,2427.0,"Drama, Family","After a family tragedy, a young girl moves from New York with your younger brother to live with their great grandmother on a Virginia farm and comes closer to understanding the land and roots that inspired her father's writings while discovering herself, the love of family, and the power of truly believing.",http://ia.media-imdb.com/images/M/MV5BNTI1MTI3NTAwMl5BMl5BanBnXkFtZTgwNzIzMDc0NTE@._V1_SX300.jpg,English                  ,tt2463302
19,little chaos_2014.0,"['netflix', 'imdb']",2,A Little Chaos,2014.0,54.0,2586.0,"Comedy, Drama, Romance","A romantic drama following Sabine, a talented landscape designer, who is building a garden at Versailles for King Louis XIV. Sabine struggles with class barriers as she becomes romantically entangled with the court's renowned landscape artist.",http://ia.media-imdb.com/images/M/MV5BMjI3Mzg5ODkwM15BMl5BanBnXkFtZTgwNjc3MDMzNTE@._V1_SX300.jpg,English                  ,tt2639254
20,take care_2014.0,"['imdb', 'amazon']",2,Take Care,2014.0,50.0,2578.0,"Comedy, Drama, Romance",A young woman is brought home from the hospital with a broken arm and leg to recuperate after being hit by a car. She soon discovers that her loved ones aren't necessarily the best or selfless caregivers for her.,http://ia.media-imdb.com/images/M/MV5BMjE3NjYyMzUxNV5BMl5BanBnXkFtZTgwMTQ0NjYwMzE@._V1_SX300.jpg,English                  ,tt3120054
21,om shanti om_2007.0,"['netflix', 'imdb']",2,Om Shanti Om,2007.0,6.6,22920.0,"Action, Comedy, Drama, Musical, Romance, Thriller","Om Prakash Makhija is a Junior Artiste in Bollywood, who is infatuated with actress Shantipriya, and hopes to marry her someday. His hopes come to reality when he rescues her from a fire and they go on a date. Shortly thereafter he finds out that she is married to a film producer, Mukesh Mehra, and is expecting his child. He then watches in horror as Mukesh, after luring her in an abandoned studio, sets it afire. Om attempts to rescue her in vain, and he eventually is killed. 30 years later, Om is reborn as the only son of yesteryear Bollywood actor, Rajesh Kapoor, and is himself an actor. His memories start to return when he meets with his widowed mother, Bela, from his previous birth. He also meets with Mukesh and together they decide to make a movie 'Om Shanti Om'. Om then hires a look-alike of Shantipriya, and hopes to force a confession out of Mukesh - but things go awry and Om finds his life endangered once again.",http://ia.media-imdb.com/images/M/MV5BMTgwMTc5MzMxOF5BMl5BanBnXkFtZTcwOTA4MTU1MQ@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt1024943
22,rowdy rathore_2012.0,"['netflix', 'imdb']",2,Rowdy Rathore,2012.0,5.7,10804.0,"Action, Comedy","Shiva (Akshay Kumar) is a small time conman in love with Priya (Sonakshi Sinha), a pretty girl whom he met at a wedding he wasn't invited to. Into this picture perfect world enters six year old Neha who inexplicably believes Shiva to be her dad! And if this wasn't bad enough, Shiva also becomes the object of a series of life threatening attacks by a gang of deadly criminals who seem to know something he doesn't. While trying desperately to save his life and love, Shiva stumbles upon a deadly secret. A secret that will take him to a small town in Bihar; a town terrorized by a ruthless politician and the mafia he controls; a town whose inhabitants only hope for redemption is ... Shiva!",http://ia.media-imdb.com/images/M/MV5BODkwODAzOTA3MV5BMl5BanBnXkFtZTcwMjc4NjI2Nw@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt2077833
23,white zombie_1932.0,"['imdb', 'amazon']",2,White Zombie,1932.0,55.0,2107.0,Horror,"Young couple Madeleine and Neil are coaxed by acquaintance Monsieur Beaumont to get married on his Haitian plantation. Beaumont's motives are purely selfish as he makes every attempt to convince the beautiful young girl to run away with him. For help Beaumont turns to the devious Legendre, a man who runs his mill by mind controlling people he has turned into zombies. After Beaumont uses Legendre's zombie potion on Madeleine, he is dissatisfied with her emotionless being and wants her to be changed back. Legendre has no intention of doing this and he drugs Beaumont as well to add to his zombie collection. Meanwhile, grieving 'widower' Neil is convinced by a local priest that Madeleine may still be alive and he seeks her out.","http://ia.media-imdb.com/images/M/MV5BMjEwODU3MDI1OF5BMl5BanBnXkFtZTgwODY4NzYwMjE@._V1._CR81.88333129882812,101.53334045410156,1038,1572.249984741211_SX89_AL_.jpg_V1_SX300.jpg",English                  ,tt0023694
24,sankofa_1993.0,"['netflix', 'imdb']",2,Sankofa,1993.0,63.0,1741.0,Drama,"A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and eventually the redemptive power of community and rebellion as she becomes a member of a freedom-seeking Maroon colony.",http://ia.media-imdb.com/images/M/MV5BMTk4NTM5NzM5MV5BMl5BanBnXkFtZTYwNzMyOTA5._V1_SX300.jpg,English                  ,tt0108041
25,cowgirls n angels_2012.0,"['imdb', 'amazon']",2,Cowgirls n Angels,2012.0,50.0,2645.0,Family,"""Cowgirls N' Angels"" tells the story of Ida, a feisty and rebellious young girl, who has fantasies of finding her father, a rodeo rider. While searching for her dad, she connects with the Sweethearts of the Rodeo, a team of young female rodeo riders run by former rodeo star Terence Parker. Recognizing Ida's innate talent for trick riding, Terence recruits her for their ranks. Accepted wholeheartedly by her new ""family,"" Ida finds a new passion that redefines her life -- and she also may find the father she's been searching for.",http://ia.media-imdb.com/images/M/MV5BMTU5MjQ4NDY4Ml5BMl5BanBnXkFtZTcwODEyNDk2OA@@._V1_SX300.jpg,English                  ,tt1894561
26,singham_2011.0,"['netflix', 'imdb']",2,Singham,2011.0,6.7,8923.0,"Action, Crime, Drama","Following charges of corruption, Colva's (Goa) Police Inspector Rakesh Kadam kills himself, leaving a devastated wife, Megha, and son, Nitin. She takes it upon herself to canvas support that her husband was framed by a gangster, Jaykant Shikre, and vainly insists on a CBI Inquiry. When the High Court requires Jaykant, on unrelated charges, to present himself at Shivgad Police Station, which is located at the borders of Maharashtra and Karnataka, he refuses to do so, and the local Inspector Bajirao Singham, who has recently fallen in love with stunning Kavya Bhosle, summons him. An enraged Jaikant does appear along with an army of goons, but is no match for Bajirao, who has support from the entire community. Humbled and humiliated, Jaykant returns to Goa, and ensures Bajirao gets transferred there. It is here he not only plans to use an army of goons, his control and influence over politicians and senior police officers to plan the ultimate vengeance with impunity but also contest and win the local elections.",http://ia.media-imdb.com/images/M/MV5BMTA2NTAyNTMyMDdeQTJeQWpwZ15BbWU3MDEyMTY1ODU@._V1._SX54_CR005474_.jpg,Hindi                    ,tt1948150
27,3 idiots_2009.0,"['netflix', 'imdb']",2,3 Idiots,2009.0,8.5,157992.0,"Comedy, Drama","Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.",http://ia.media-imdb.com/images/M/MV5BMTMyOTg0ODQ1OF5BMl5BanBnXkFtZTcwNjc0NTMwNQ@@._V1._SX54_CR005474_.jpg,Hindi                    ,tt1187043
28,manorama six feet under_2007.0,"['netflix', 'imdb']",2,Manorama Six Feet Under,2007.0,7.8,3071.0,"Crime, Drama, Mystery, Thriller","Rajasthan-based Satyaveer Singh Randhawa works as a Junior Engineer with Lahkot Municipality's Public Works Department and lives a middle-class lifestyle with his wife, Nimmi, and son, Raju. The region faces drought and extreme temperatures, with the local Irrigation Minister, P.P. Rathore, making tall promises of diverting water from Haryana and Punjab via a canal that is being constructed on a controversial site. Satyeveer also authored a fictional novel 'Manorama' that sold only about 200 copies. So dismayed was he with this that he decided to not even keep a copy for his private library. To make matters worse he accepts a motorbike from Seema Constructions as a bribe, is apprehended, and suspended pending an inquiry. Now out of a job, he is approached by Manorama Rathore, the wife of the Irrigation Minister, to collect evidence that her husband is having an extra-marital affair for a fee of Twenty thousand rupees. Satyaveer accepts this offer little knowing that he will soon be thrust into a web of lies and deceit, which will not only get him in the bad books of Rathore, assaulted by his goons, but also implicate him in the murder of two lovers, Sameera, and Dr. Anil Poddar, compounded all the more by the sudden death of Manorama and the disappearance of an orphan named Deepti.",http://i.media-imdb.com/images/SF1f0a42ee1aa08d477a576fbbf7562eed/realm/feature.gif,Hindi                    ,tt0920464
29,phir hera pheri_2006.0,"['netflix', 'imdb']",2,Phir Hera Pheri,2006.0,6.0,4612.0,"Comedy, Crime","Using their wits, Ganpatrao ""Babubhai"" Apte, Ghanshyam ""Shyam"", and Raju find themselves wealthy beyond their imagination. They each have a car, a palatial house with a huge swimming pool, that Babubhai is yet to familiarize himself with, and a very easy life. Then Raju finds out that he can double his wealth in 21 days, and meets with an attractive young woman named Anuradha from an agency in Bombay's business district. She informs him that the minimum investment is one Crore, and Raju quickly agrees to invest this money. He dupes another man by the name of Pappu into parting with 50 Lakhs, and the rest of the money comes through by getting Shyam and Babu to sign away their respective investments. After 21 days when the trio go to collect their doubled wealth, they find that Anuradha and her company have disappeared. Devastated, they move out of their bungalow and are now living in a shanty room in a Chawl when they get a visit from Pappu, who wants his money back, as he owes this money to Tiwari, an underworld Don. The trio decide to meet with Tiwari and plead with him, but all in vain, then they decide to stage a robbery, however, that does not go well either. It is then they find out that a rich Parsi man owns an antique gun collection that is worth more than their loss. They plan to steal these guns, and make a deal with Tiwari, however, once again Murphy's Law prevails and the hapless trio find themselves on the run from a multitude of gangsters and killers - including a man who can bite through steel and a faceless 8 foot monster - who will not stop at anything to get their hands on the guns.",http://i.media-imdb.com/images/SF1f0a42ee1aa08d477a576fbbf7562eed/realm/feature.gif,Hindi                    ,tt0419058
30,right kind of wrong_2013.0,"['imdb', 'amazon']",2,The Right Kind of Wrong,2013.0,52.0,2119.0,"Comedy, Romance","In this romantic comedy, The Right Kind of Wrong, Leo Palamino is a failed-writer-turned-dishwasher made famous for his many flaws and shortcomings in a blog called ""Why You Suck,"" a huge Internet success written by his ex-wife. Then Leo meets Colette, the girl of his dreams... on the day she is marrying the perfect man. And so, the ultimate underdog story begins as Leo, a fearless dreamer, risks all to show Colette and the whole wide world all that is right with a man famous for being wrong.",http://ia.media-imdb.com/images/M/MV5BMTU5NDI3MzUzM15BMl5BanBnXkFtZTgwMzI2MTQ5MDE@._V1_SX300.jpg,English                  ,tt2286990
31,legend of bhagat singh_2002.0,"['netflix', 'imdb']",2,The Legend of Bhagat Singh,2002.0,8.1,5510.0,"Biography, Drama, History","Bhagat was born in British India during the year 1908. As a child he witnessed numerous atrocities committed on fellow Indians by their British rulers, who came to trade under the guise of the East India Company, but ended up controlling most of the nation, and permitting tyrants such as General Dyer to massacre thousands of innocent men, women and children in Jallianwala Baug. As a child he was impressed by Mohandas K. Gandhi, especially his call to launch the non-cooperation movement, which led to thousands of people burning British-made clothing, giving up schools, & college studies, and government jobs - only to be let down by Gandhi himself when he called off the movement. Undaunted, Bhagat decided to be a revolutionary, starting with getting into petty fights, then as a grown-up joining the Hindustan Republic Association. When Lala Lajpat Rai was beaten to death by the police, Bhagat, along with Shivram Rajguru, Sukhdev, and others daringly carried out the assassination of a police officer named Saunders, which eventually led to Bhagat's arrest, where he was lodged in a cell, tortured and beaten mercilessly. His father, Kishan, paid Rs.60,000/- and bailed him out, so that he could get him to run a diary-farm and get married to a girl from Manavali. But being a revolutionary was in Bhagat's blood, and when the British proposed the Trade Disputes and Public Safety Bills, he would initiate the bombing in the Indian Parliament Building, along with Batukeshwar Dutt, be arrested, and tried in an open court. This is where Bhagat launched his much-publicized revolution, and became popular with the masses, especially the younger generation, laborers, and farmers, so much so that his popularity rivaled that of Gandhi himself. Even in prison, Bhagat made headline news when he and other prisoners undertook a 63 day fast unto death to improve the conditions of Indian freedom-fighter prisoners. Then the British re-opened the Saunders' murder case, which led to death sentences being imposed on Bhagat, Shivram, and Sukhdev. The entire nation rose up in protest, including the Congress party - with the ball being in Gandhi's court - for he was due to sign the Irwing Pact, and Indians hoped that he would use this as a bargaining chip to save the lives of the heroic trio. Will Gandhi rise up to the occasion and save the trio - so that they could pave the way for a modern and independent India, not just a country ruled by the British with a dominant status - an India free of communal hatred, injustice, corruption, and fundamentalism, or will Gandhi end up disappointing Bhagat all over again?",http://i.media-imdb.com/images/SF1f0a42ee1aa08d477a576fbbf7562eed/realm/feature.gif,Hindi                    ,tt0319736
32,afternoon is night_2014.0,"['imdb', 'amazon']",2,Afternoon Is Night,2014.0,87.0,2718.0,"Comedy, Drama, Romance","""Afternoon Is Night"" interweaves the stories of a few unusual tenants living in a low-cost apartment building in downtown Los Angeles. In this glimpse into LA's underbelly, you'll meet construction workers longing for love, a meddling yogi healer and his uncomfortable Malibu clientele, an aging actress concerned for her future, and a post-collegiate pizza boy caught in the middle of four angry working women and a pizza with the wrong toppings.",http://ia.media-imdb.com/images/M/MV5BODEyNzM4NzQ2M15BMl5BanBnXkFtZTgwNzA4NjcxMjE@._V1_SX300.jpg,English                  ,tt3202934
33,dostana_2008.0,"['netflix', 'imdb', 'amazon']",3,Dostana,2008.0,6.5,9185.0,"Comedy, Drama, Romance","After the passing of her parents, Neha Melwani lives in Miami with her aunt. She rents out a room in her apartment to two seemingly gay Indian men, Kunal Chauhan and Sameer Acharya, a photographer and nurser respectively. She introduces them to her departing gay boss, Murli, and falls in love with her new boss, Abhimanyu Singh. She will soon realize that she has two rivals for her new love - none other than Kunal and Sameer.",http://ia.media-imdb.com/images/M/MV5BMTgzNTMxNTA5N15BMl5BanBnXkFtZTcwNTM1NTQwMg@@._V1._SY74_CR1205474_.jpg,Hindi                    ,tt1185420
